,cases_mean,cases_median,cases_Std,low_ci_05,high_ci_95,low_ci_025,high_ci_975,type
2020-06-15,704.2404466247558,682.6353759765625,174.41574872739199,457.76367492675786,1029.0037475585937,425.7109962463379,1114.7901092529296,estimate
2020-06-16,740.2094313049316,724.6572265625,186.92731478156966,471.8391571044922,1079.7205749511718,433.90289306640625,1162.588162231445,estimate
2020-06-17,810.0445022277833,788.0455627441406,200.41319617050172,517.516796875,1180.512518310547,487.3441452026367,1262.6554412841797,estimate
2020-06-18,873.8716679077148,850.6998901367188,215.19218513829776,565.5457275390625,1255.2095153808593,530.829248046875,1356.6993041992187,estimate
2020-06-19,918.2363583526611,895.3742980957031,221.09088046923574,599.6297424316406,1316.3248474121092,545.109391784668,1404.5462402343749,estimate
2020-06-20,973.3817966156006,953.7284545898438,234.63204503095088,632.3561187744141,1401.6700561523435,568.7130966186523,1511.0695770263671,estimate
2020-06-21,1020.3920405426026,999.6306457519531,244.28484929762382,665.7797088623047,1450.468310546875,608.5024398803712,1567.9359252929687,estimate
2020-06-22,1048.5444091644288,1021.1553955078125,249.81191741460577,682.0979431152343,1495.70283203125,635.2508972167968,1626.5046539306632,estimate
2020-06-23,1057.6753827819825,1033.3585205078125,259.18489626550297,673.804998779297,1526.9138244628905,616.3089172363282,1648.9849334716796,estimate
2020-06-24,1099.8126650390625,1066.1624755859375,263.7737532740992,724.0505950927734,1586.13115234375,674.2472473144531,1705.6656738281247,estimate
2020-06-25,1128.0879439697267,1097.747314453125,268.2046123652927,754.5248626708984,1613.0384338378906,705.9458953857422,1769.7903686523434,estimate
2020-06-26,1165.8771850280762,1134.412109375,267.91882826472465,776.3962738037109,1642.691436767578,722.263134765625,1774.8709350585932,estimate
2020-06-27,1156.2381776275636,1126.674560546875,277.64088168578263,754.2657104492188,1660.1607055664062,702.433155822754,1803.872360229491,estimate
2020-06-28,1127.4028493499757,1093.1458740234375,294.4934062078604,722.9741577148437,1644.0544494628907,672.2187316894532,1790.4375732421872,estimate
2020-06-29,1158.3465108795167,1117.9942016601562,301.5664207622641,738.1693054199219,1705.8647155761719,689.0651184082031,1852.5598815917967,estimate
2020-06-30,1223.9261785583496,1179.5853881835938,312.70001661467046,773.8716278076172,1797.0100219726562,736.1211181640625,1919.1312499999988,estimate
2020-07-01,1286.9766885681152,1259.8807373046875,311.5123825600544,835.9130157470703,1842.3370483398437,782.4240402221681,1998.6890838623042,estimate
2020-07-02,1349.0817495422364,1308.9423217773438,329.95435945085035,872.4928680419922,1971.6935241699216,807.617561340332,2119.344232177734,estimate
2020-07-03,1419.6353938903808,1380.5520629882812,352.4840206417277,920.0435729980469,2043.8472045898436,848.3485000610352,2221.6166381835933,estimate
2020-07-04,1507.9185654296875,1470.17529296875,377.9079119067091,963.1885955810546,2191.2790405273436,892.5358352661133,2356.6631774902335,estimate
2020-07-05,1603.8940324707032,1555.8269653320312,409.3404641446331,1022.1479034423828,2340.2604370117188,947.515528869629,2492.2477478027345,estimate
2020-07-06,1727.301512664795,1676.1880493164062,432.8926361078683,1125.9406677246093,2509.3477416992187,1055.0676239013671,2705.4043212890624,estimate
2020-07-07,1837.8213916320801,1788.044189453125,449.46363389020695,1176.3431274414063,2675.6804077148436,1096.082974243164,2831.7318298339837,estimate
2020-07-08,1984.394597869873,1926.054931640625,484.5238423205152,1289.1618225097654,2868.926403808594,1201.301141357422,3077.163128662109,estimate
2020-07-09,2132.7427617797853,2089.2935791015625,508.43429250615975,1397.07548828125,3042.8800903320307,1288.9165924072265,3268.6554016113273,estimate
2020-07-10,2247.7101141052244,2188.62646484375,545.2229832235145,1457.0923400878908,3224.4134277343746,1347.8885070800782,3535.7761291503907,estimate
2020-07-11,2343.2815152282715,2289.99072265625,584.6632630098586,1501.8279052734374,3370.8486450195314,1393.835675048828,3702.3323852539042,estimate
2020-07-12,2427.666607635498,2351.0242919921875,634.7687561764046,1522.7943420410156,3557.030383300781,1420.847982788086,3868.44645385742,estimate
2020-07-13,2525.7879174499512,2452.4552001953125,662.9263502785888,1575.2467468261718,3695.047131347656,1466.8633880615234,4015.0643066406224,estimate
2020-07-14,2642.345397644043,2542.170166015625,692.618894958323,1673.885272216797,3880.7993164062495,1556.0561889648436,4184.140515136714,estimate
2020-07-15,2753.4567472229005,2650.6614990234375,719.0777651960236,1783.9972412109375,4047.333532714844,1657.0608123779298,4418.836938476562,estimate
2020-07-16,2801.8168008422854,2714.171142578125,741.329092259738,1759.3891540527343,4132.434008789062,1596.9230712890624,4414.689868164062,estimate
2020-07-17,2974.432182006836,2889.411865234375,765.4778079998429,1885.1619689941406,4391.015625,1740.3790344238282,4711.963452148437,estimate
2020-07-18,3174.885088989258,3094.8731689453125,773.303726165731,2051.078112792969,4577.500415039062,1908.5327392578124,4902.755224609372,estimate
2020-07-19,3310.468248474121,3212.3297119140625,772.9686444504481,2161.313647460938,4716.811743164062,1997.9867431640625,5046.464892578125,estimate
