date,mean,median,std,low_975,high_975,low_90,high_90,low_75,high_75,type
2020-07-09,6.014558975968069,6.018648957767875,0.28274696834925117,5.5800852873721425,6.430599591959316,5.730132096784189,6.26516997152076,5.8680692092344655,6.144843074486676,estimate
2020-07-10,6.263835301276231,6.265408327320452,0.3131409034921258,5.754584957157684,6.740495134669192,5.954181659144606,6.553087887161631,6.092475082956986,6.415859730423258,estimate
2020-07-11,6.560291773575352,6.560462248902861,0.3458502206809218,6.007027584611113,7.100529431012924,6.2094594982769316,6.890064315728782,6.358403759323226,6.731066940453954,estimate
2020-07-12,6.880088168014031,6.884271658627558,0.3779604907920866,6.283345823584683,7.484431699267832,6.496053622476438,7.246650703754666,6.659022372075359,7.078287167889391,estimate
2020-07-13,7.210267096619782,7.199206898579117,0.4089982198068252,6.536681979702598,7.857310011787,6.766201196497222,7.610342539286231,6.970629798361994,7.428694640184807,estimate
2020-07-14,7.558328251465449,7.544584452332323,0.4356343481166592,6.855551618270864,8.214539043718975,7.098159929896503,7.994689432782869,7.30463961397606,7.791218532297884,estimate
2020-07-15,7.912904179623951,7.884901529107461,0.4591834685418614,7.18453762702989,8.614727735948712,7.421152818215077,8.385654061148898,7.642093365311311,8.155154224147594,estimate
2020-07-16,8.278339883228476,8.260104116257981,0.4801885880239975,7.50206666701707,8.985297358638814,7.773289897980051,8.770442218459326,8.005766254612643,8.526909819733342,estimate
2020-07-17,8.652401907319037,8.639554325992748,0.49822474854309945,7.858737396325923,9.417461175812827,8.139557198485718,9.162333378600563,8.363211334686135,8.906066668483875,estimate
2020-07-18,9.055542279612865,9.032450247504997,0.5151900811143014,8.231590956512045,9.885897550765812,8.525909947712071,9.58253265138313,8.759502298422195,9.290928777209079,estimate
2020-07-19,9.514101719906185,9.468843046617383,0.5309675583970694,8.70793310440583,10.380463527467816,8.975206963118534,10.041439683698188,9.205750193098755,9.7641964408712,estimate
2020-07-20,10.04151526489621,9.989149310595575,0.5460275411084651,9.22403574994741,10.916996626470914,9.50458786020909,10.642520450010862,9.715089034447548,10.295405954763492,estimate
2020-07-21,10.634349979898666,10.58539328768066,0.5601348912775573,9.830258278677533,11.557677764227488,10.06285625788484,11.245363826903818,10.305059364651004,10.877843630527973,estimate
2020-07-22,11.281564694592278,11.231154154229893,0.5714734867245911,10.451882259080042,12.27469937527556,10.697479185732586,11.904576516917698,10.944732990777341,11.517501977436385,estimate
2020-07-23,11.932818990038806,11.902009608305637,0.5819081095023393,11.044382216603816,12.965905830879592,11.366141766451165,12.558650500357716,11.587352450120383,12.17931824618536,estimate
2020-07-24,12.507065171487222,12.48645802914957,0.5883368009537842,11.571712642648308,13.595631158212388,11.928517217906217,13.126464131058045,12.157820386559326,12.76910522577367,estimate
2020-07-25,12.979244669620735,12.95517554171245,0.59230197408809,12.024873772269,14.074551215755148,12.364785338600305,13.62498589728185,12.623210085457277,13.26027402116135,estimate
2020-07-26,13.422525014218849,13.386917346887262,0.5940823037722217,12.445642348711601,14.457835592437007,12.796747164513295,14.075019982161209,13.076929517701096,13.69991823784902,estimate
2020-07-27,13.876835609590474,13.843008113753655,0.5975582574359855,12.862649181700093,14.925802284230855,13.219196760512437,14.516877851942422,13.527727563476901,14.16580909509504,estimate
2020-07-28,14.367091441148448,14.315276516563223,0.6008595146064798,13.358361405331127,15.387676846252075,13.661312543492294,15.0261378525267,13.997377108333446,14.686619573264888,estimate
2020-07-29,14.878235185952775,14.844621965868184,0.6068688537235665,13.803830059893311,15.995860309811201,14.176718456696314,15.542813774324973,14.49974251461946,15.20750644752438,estimate
2020-07-30,15.392187454735312,15.364848777913144,0.6157397955875643,14.28603148227849,16.565043875191034,14.679694420530769,16.069522641784115,15.022472062561185,15.738367595247894,estimate
2020-07-31,15.89896285076143,15.872821657179088,0.6258622492895978,14.759254836208619,17.166436337549456,15.158738239738753,16.56370999946584,15.528400582468233,16.26649070711854,estimate
2020-08-01,16.383812569059515,16.357857374490084,0.6375484700407409,15.206480906416992,17.703853492101928,15.585189768497848,17.060185572824604,16.01887570136194,16.75124223097606,estimate
2020-08-02,16.858723706146655,16.85864290964225,0.6502276968208144,15.589605462479316,18.224865350364077,16.027729702567413,17.546278612016284,16.49556590984015,17.255661164151732,estimate
2020-08-03,17.369246625768056,17.40104903443288,0.6663037506996576,16.11828718255744,18.724915955133856,16.50946021945602,18.116969625036994,16.98304630201978,17.79039712154202,estimate
2020-08-04,17.912229816061437,17.936481724160735,0.685170575056103,16.67307680789513,19.28269572342024,16.982162552054767,18.722862733828567,17.499416639459472,18.36378644444898,estimate
2020-08-05,18.437813236700215,18.46544824886106,0.7051137199343763,17.153827926914488,19.759991600097152,17.522201009235125,19.268553279305205,18.001314501676863,18.908866432377177,estimate
2020-08-06,18.90883941871989,18.91267706932866,0.7261447730040227,17.55147537961828,20.292141702645146,17.952095862546685,19.74086446392497,18.442349127196067,19.38388815025754,estimate
2020-08-07,19.2916167494617,19.306550860788356,0.7468192017917605,17.931088465816174,20.725475602328157,18.274494694872185,20.14909094153841,18.81276626329124,19.760523928049796,estimate
2020-08-08,19.59232076285589,19.606848609963983,0.7663728809029852,18.2371015592503,21.066184132666635,18.56286243068888,20.486640646362257,19.11911458276673,20.102857861591556,estimate
2020-08-09,19.851310922265416,19.85685939709184,0.7858973797283023,18.451131316077266,21.35762879738987,18.779890886826585,20.778440705694514,19.379139369325223,20.37659421831949,estimate
2020-08-10,20.102886953222495,20.10935764089853,0.8049501033384044,18.65918414843479,21.613613453143586,19.03852159754124,21.04917500168377,19.60323354700199,20.638510572057587,estimate
